Country,Population2018
Afghanistan,37172386
Albania,2866376
Algeria,42228429
American Samoa,55465
Andorra,77006
Angola,30809762
Antigua and Barbuda,96286
Arab World,419790588
Argentina,44494502
Armenia,2951776
Aruba,105845
Australia,24992369
Austria,8847037
Azerbaijan,9942334
"Bahamas, The",385640
Bahrain,1569439
Bangladesh,161356039
Barbados,286641
Belarus,9485386
Belgium,11422068
Belize,383071
Benin,11485048
Bermuda,63968
Bhutan,754394
Bolivia,11353142
Bosnia and Herzegovina,3323929
Botswana,2254126
Brazil,209469333
British Virgin Islands,29802
Brunei Darussalam,428962
Bulgaria,7024216
Burkina Faso,19751535
Burundi,11175378
Cabo Verde,543767
Cambodia,16249798
Cameroon,25216237
Canada,37058856
Caribbean small states,7358965
Cayman Islands,64174
Central African Republic,4666377
Central Europe and the Baltics,102511922
Chad,15477751
Channel Islands,170499
Chile,18729160
China,1392730000
Colombia,49648685
Comoros,832322
"Congo, Dem. Rep.",84068091
"Congo, Rep.",5244363
Costa Rica,4999441
Cote d'Ivoire,25069229
Croatia,4089400
Cuba,11338138
Curacao,159849
Cyprus,1189265
Czech Republic,10625695
Denmark,5797446
Djibouti,958920
Dominica,71625
Dominican Republic,10627165
Early-demographic dividend,3249140605
East Asia & Pacific,2328220870
East Asia & Pacific (excluding high income),2081651801
East Asia & Pacific (IDA & IBRD countries),2056064424
Ecuador,17084357
"Egypt, Arab Rep.",98423595
El Salvador,6420744
Equatorial Guinea,1308974
Eritrea,
Estonia,1320884
Eswatini,1136191
Ethiopia,109224559
Euro area,341783171
Europe & Central Asia,918793590
Europe & Central Asia (excluding high income),417797257
Europe & Central Asia (IDA & IBRD countries),459865205
European Union,513213363
Faroe Islands,48497
Fiji,883483
Finland,5518050
Fragile and conflict affected situations,515215936
France,66987244
French Polynesia,277679
Gabon,2119275
"Gambia, The",2280102
Georgia,3731000
Germany,82927922
Ghana,29767108
Gibraltar,33718
Greece,10727668
Greenland,56025
Grenada,111454
Guam,165768
Guatemala,17247807
Guinea,12414318
Guinea-Bissau,1874309
Guyana,779004
Haiti,11123176
Heavily indebted poor countries (HIPC),780234406
High income,1210312147
Honduras,9587522
"Hong Kong SAR, China",7451000
Hungary,9768785
IBRD only,4772284113
Iceland,353574
IDA & IBRD total,6412522234
IDA blend,555830605
IDA only,1084407516
IDA total,1640238121
India,1352617328
Indonesia,267663435
"Iran, Islamic Rep.",81800269
Iraq,38433600
Ireland,4853506
Isle of Man,84077
Israel,8883800
Italy,60431283
Jamaica,2934855
Japan,126529100
Jordan,9956011
Kazakhstan,18276499
Kenya,51393010
Kiribati,115847
"Korea, Dem. People’s Rep.",25549819
"Korea, Rep.",51635256
Kosovo,1845300
Kuwait,4137309
Kyrgyz Republic,6315800
Lao PDR,7061507
Late-demographic dividend,2288665963
Latin America & Caribbean,641357515
Latin America & Caribbean (excluding high income),609013934
Latin America & the Caribbean (IDA & IBRD countries),625569713
Latvia,1926542
Least developed countries: UN classification,1009662578
Lebanon,6848925
Lesotho,2108132
Liberia,4818977
Libya,6678567
Liechtenstein,37910
Lithuania,2789533
Low & middle income,6383958209
Low income,705417321
Lower middle income,3022905169
Luxembourg,607728
"Macao SAR, China",631636
Madagascar,26262368
Malawi,18143315
Malaysia,31528585
Maldives,515696
Mali,19077690
Malta,483530
Marshall Islands,58413
Mauritania,4403319
Mauritius,1265303
Mexico,126190788
"Micronesia, Fed. Sts.",112640
Middle East & North Africa,448912859
Middle East & North Africa (excluding high income),382896715
Middle East & North Africa (IDA & IBRD countries),378327628
Middle income,5678540888
Moldova,3545883
Monaco,38682
Mongolia,3170208
Montenegro,622345
Morocco,36029138
Mozambique,29495962
Myanmar,53708395
Namibia,2448255
Nauru,12704
Nepal,28087871
Netherlands,17231017
New Caledonia,284060
New Zealand,4885500
Nicaragua,6465513
Niger,22442948
Nigeria,195874740
North America,364290258
North Macedonia,2082958
Northern Mariana Islands,56882
Norway,5314336
Not classified,
OECD members,1303529456
Oman,4829483
Other small states,30758989
Pacific island small states,2457367
Pakistan,212215030
Palau,17907
Panama,4176873
Papua New Guinea,8606316
Paraguay,6956071
Peru,31989256
Philippines,106651922
Poland,37978548
Portugal,10281762
Post-demographic dividend,1109997273
Pre-demographic dividend,919485393
Puerto Rico,3195153
Qatar,2781677
Romania,19473936
Russian Federation,144478050
Rwanda,12301939
Samoa,196130
San Marino,33785
Sao Tome and Principe,211028
Saudi Arabia,33699947
Senegal,15854360
Serbia,6982084
Seychelles,96762
Sierra Leone,7650154
Singapore,5638676
Sint Maarten (Dutch part),40654
Slovak Republic,5447011
Slovenia,2067372
Small states,40575321
Solomon Islands,652858
Somalia,15008154
South Africa,57779622
South Asia,1814388744
South Asia (IDA & IBRD),1814388744
South Sudan,10975920
Spain,46723749
Sri Lanka,21670000
St. Kitts and Nevis,52441
St. Lucia,181889
St. Martin (French part),37264
St. Vincent and the Grenadines,110210
Sub-Saharan Africa,1078306520
Sub-Saharan Africa (excluding high income),1078209758
Sub-Saharan Africa (IDA & IBRD countries),1078306520
Sudan,41801533
Suriname,575991
Sweden,10183175
Switzerland,8516543
Syrian Arab Republic,16906283
Tajikistan,9100837
Tanzania,56318348
Thailand,69428524
Timor-Leste,1267972
Togo,7889094
Tonga,103197
Trinidad and Tobago,1389858
Tunisia,11565204
Turkey,82319724
Turkmenistan,5850908
Turks and Caicos Islands,37665
Tuvalu,11508
Uganda,42723139
Ukraine,44622516
United Arab Emirates,9630959
United Kingdom,66488991
United States,327167434
Upper middle income,2655635719
Uruguay,3449299
Uzbekistan,32955400
Vanuatu,292680
"Venezuela, RB",28870195
Vietnam,95540395
Virgin Islands (U.S.),106977
West Bank and Gaza,4569087
World,7594270356
"Yemen, Rep.",28498687
Zambia,17351822
Zimbabwe,14439018
